noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
cebdae5a-f2c6-485b-9e69-6eae64158cd0,1,Heinrich Wietholt GmbH,DE 124 469 636-00001 ,Velen,46342,DEA34,DEU,,,winner,,,,medium,DEU,FALSE
fb84a142-649c-4dfa-abf8-e3636855a5cd,1,K.T. Trockenbau GmbH ,DE307867896,Offenbach am Main ,63073,DE713,DEU,,FALSE,winner,,,,,,
05b83088-0dc5-4eb4-a96a-1fa8ac79408c,1,"mtp Planungsgesellschaft für Medizintechnik mbH
",DE 253902565,Dresden,1309,DED21,DEU,https://www.mt-planung.de/,,winner,,,,medium,DEU,
263a78f4-1325-42a1-b508-18584f228b60,1,Josef Biller GmbH,DE128363853,Kochel am See,82431,DE216,DEU,,,winner,,,,small,DEU,
4c673522-fffb-42d7-81d4-5e1e61a2aa0c,1,J+R Kusser Granit GmbH,DE179145161,Fürstenstein,94538,DE228,DEU,,,winner,,,,small,DEU,
7917a020-aadb-4455-8bb4-786aa20581a0,1,Elektro Kreutzpointner GmbH,DE129263010,Burghausen,84489,DE214,DEU,,,winner,,,,large,,FALSE
4aa47f93-d3bd-431b-9ef5-c87672617071,1,Georg Maurer Fuhr- und Baggerbetrieb GmbH & Co. KG,DE319887958,Garmisch-Partenkirchen,82467,DE21D,DEU,,,winner,,,,small,DEU,
93d43019-a80c-41b1-83f4-2fee23582b48,1,Heinz Heer GmbH,DE128669259,Pfronten-Kappel,87459,DE27B,DEU,,,winner,,,,small,DEU,
eeea71ef-be5a-420c-957f-e11e8f0d0a15,1,BTL Brandschutz Technik GmbH Leipzig,DE 141623045,Kabelsketal,6184,DEE0B,DEU,,,winner,,,,medium,,FALSE
b09be119-7ac1-4d0d-b03e-94b4079d6be1,1,CANCOM GmbH,DE128791177,Jettingen-Scheppach,89343,DE278,DEU,,,winner,,,,large,DEU,FALSE
4fbb45d6-42e5-4632-9495-32ea296d1c7a,1,BTS Brandschutztechnik Stolpen Karosserie- und Fahrzeugbau GmbH,DE815640244,Stolpen,1833,DED2F,DEU,,,winner,,,,medium,,FALSE
48dc19e9-3300-4883-9be0-9984b55069d5,1,ecotone - Dipl. Biol. Benjamin Bernhardt,DE 277 229 988,Dortmund,44139,DEA52,DEU,,,winner,,,,micro,,FALSE
fb0c090f-7398-4b61-9474-34c1a82f14e4,1,Schreinerei Umgeher GmbH,DE275081835,Babensham,83547,DE21K,DEU,,,winner,,,,small,DEU,
dc1278ec-bb3f-4f36-af06-17c9e5bde36f,1,Franz Schelle GmbH & Co.KG,DE 161890790,Pfaffenhofen,85276,DE21J,DEU,,,winner,,,,medium,DEU,
6a389e6c-aa94-459a-aa6c-4a69540765ae,1,Umwelttechnik Bornemann GmbH,DE253590603,Bentwisch,18182,DE80K,DEU,,,winner,,,,medium,DEU,
554e1a55-6379-4973-b384-041b5c73c7e8,1,Möhring Versorgungstechnik GmbH,DE 812786727,Stäbelow,18198,DE80K,DEU,,,winner,,,,medium,DEU,
816e5370-5501-42be-be93-a78c6589cd5b,1,MAN Truck & Bus Deutschland GmbH,DE811124407,Kiel,24145,DEF02,DEU,https://www.mantruckandbus.com,FALSE,winner,,,,large,,FALSE
816e5370-5501-42be-be93-a78c6589cd5b,1,Albert Ziegler Feuerschutz GmbH,DE134877233,Rendsburg,24768,DEF0B,DEU,https://www.ziegler.de,FALSE,winner,,,,medium,,FALSE
0608985e-efd0-4e3b-bfb6-3d7fb8c184f0,1,milaa gGmbH,DE 301411313,Berlin,10115,DE300,DEU,,,winner,,,,medium,DEU,
0608985e-efd0-4e3b-bfb6-3d7fb8c184f0,1,CJD Berlin-Brandenburg,DE145555904,Berlin,10553,DE300,DEU,,,winner,,,,large,DEU,
531e25e4-c36a-497f-9553-21922d188739,1,Hochbau Krentz & Müller GmbH,DE310001156,Wismar,23966,DE80M,DEU,https://www.krentz-mueller.de/,,winner,,,,medium,DEU,FALSE
8cf10a41-3932-4795-95d8-d3e2efbb713b,1,TCS Cards & Services GmbH,DE 815 530 272,Bamberg,96052,DE241,DEU,,,winner,,,,large,,FALSE
cdc54b02-a4c3-48a0-9436-088161ade28b,1,Brandschutz Consult IG mbH Leipzig,DE154931913,Leipzig,4315,DED51,DEU,,,winner,,,,medium,DEU,
144384f6-d417-439c-8287-bb2e04836158,1,AFF Architekten GmbH,DE 814 591 842,Berlin,10317,DE300,DEU,,,winner,,,,medium,DEU,
26dd700d-3b6d-43c0-a831-bea25975e201,1,Krekeler Architekten Generalplaner GmbH,DE234200110,Brandenburg an der Havel,14776,DE401,DEU,,,winner,,,,large,DEU,
e6edc2c5-8467-4141-a43e-482783849182,1,Güttinger Ingenieure,DE 306 431 364,Kempten,87439,DE273,DEU,,,winner,,,,small,DEU,
97489db4-f4b3-4ade-95b3-acfe147b32c8,1,Halton Foodservice GmbH,DE 166209358,Reit im Winkl,83242,DE21M,DEU,,,winner,,,,medium,DEU,
26108ff5-fb78-46ee-819a-6b5be9761afb,1,KLEUSBERG GmbH & Co. KG,DE148005271,Wissen,57537,DEB13,DEU,,,winner,,,,medium,,
1e2615ad-17ea-4c77-a876-bd16a4445e74,1,MMS Transport und Umwelt,DE281664673,Bremen,28309,DE501,DEU,,,winner,,,,medium,DEU,
978c32a0-bc6a-4d97-b198-d8f6a541382d,1,Avissplan,DE265083562,Kremmen,16766,DE40A,DEU,,,winner,,,,micro,DEU,
469229eb-5c39-4bc5-94c1-fecd75d28231,1,SVA System Vertrieb Alexander GmbH,DE 185 176 948,Wiesbaden,65205,DE714,DEU,,,winner,,,,large,DEU,
923261d7-9650-4e1c-91b2-c1a183cc7d26,1,Mittnacht Beratende Ingenieure,DE229500447,Würzburg,97074,DE263,DEU,,,winner,,,,small,DEU,
dec2e86f-ec6f-409b-b4e5-f9c5c97da535,1,innoline Fenster & Türen GmbH & Co. KG,DE246086897,Osterburg,39606,DEE0D,DEU,,,winner,,,,small,DEU,
62238b39-499c-474a-b724-6db7603b71c2,1,ITURRI Feuerwehr- und Umwelttechnik GmbH,DE814112117,Wilnsdorf,57234,DEA5A,DEU,,,winner,,,,large,,
adf1bb6f-f3e3-4493-ae31-bb9f764e328b,1,Stephan Huber Landschaftsarchitektur,DE166204185,München,80469,DE212,DEU,,,winner,,,,medium,DEU,
728f6d3e-5c35-4e7e-98fe-ba9ffe76c0d1,1,LETA Bau GmbH,DE338351076,Markkleeberg,4416,DED52,DEU,,,winner,,,,medium,DEU,
